Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
3577,mechanisms,mechanisms,5.76,11.168
7379,med,med,4.96,9.681
837,medal,medal,6.78,14.327
4217,media,media,5.62,18.058
6809,medicaid,medicaid,5.08,18.609
8245,medical,medical,4.72,16.041
5772,medicare,medicare,5.3,16.812
6810,medicine,medicine,5.08,16.884
6251,medieval,medieval,5.2,16.036
5671,medium,medium,5.32,7.939
8076,meds,meds,4.78,13.746
7191,mee,mee,5,6.999
7102,meer,meer,5.02,10.971
1554,meet,meet,6.38,12.599
5024,meeting,meeting,5.46,13.433
8005,meetings,meetings,4.8,15.386
2716,meets,meets,5.98,10.971
2639,mega,mega,6,16.413
5025,megan,megan,5.46,12.651
8246,meh,meh,4.72,11.256
7785,mehr,mehr,4.86,11.068
6995,mei,mei,5.04,9.026
8006,mein,mein,4.8,14.142
6614,meine,meine,5.12,13.037
6252,mejor,mejor,5.2,14.569
8416,mek,mek,4.65,8.377
2504,melbourne,melbourne,6.04,1.428
8247,melhor,melhor,4.72,13.559
4815,melissa,melissa,5.5,10.926
2157,mellow,mellow,6.16,15.301
274,melody,melody,7.35,17.742
7643,melt,melt,4.9,11.294
6481,melting,melting,5.14,15.679
2869,member,member,5.94,11.141
4014,members,members,5.66,12.224
2445,membership,membership,6.06,10.184
7192,membrane,membrane,5,11.726
7715,memo,memo,4.88,11.542
2789,memoir,memoir,5.96,12.447
7380,memorial,memorial,4.96,17.492
517,memories,memories,7.08,11.925
1378,memory,memory,6.46,12.811
5216,memphis,memphis,5.42,15.661
2870,men,men,5.94,13.911
3398,men's,men's,5.8,13.702
2211,mend,mend,6.14,12.124
7460,menos,menos,4.94,9.348
8007,mental,mental,4.8,18.183
6193,mente,mente,5.21,1.237
5672,mention,mention,5.32,7.407
5217,mentioned,mentioned,5.42,11.082
896,mentor,mentor,6.74,11.214
2034,menu,menu,6.2,12.936
1289,mercedes,mercedes,6.51,19.485
2974,merchant,merchant,5.92,11.518
3921,merchants,merchants,5.68,1.449
5218,mercury,mercury,5.42,15.398
991,mercy,mercy,6.68,17.664
8302,mere,mere,4.7,13.132
8580,merely,merely,4.56,11.457
6711,merger,merger,5.1,10.152
897,merit,merit,6.74,1.209
7644,merrill,merrill,4.9,11.112
162,merry,merry,7.56,11.457
7562,mes,mes,4.92,1.066
7461,mesmo,mesmo,4.94,12.357
9215,mess,mess,3.94,15.703
2382,message,message,6.08,1.122
2717,messages,messages,5.98,9.366
9280,messed,messed,3.84,13.149
9053,messing,messing,4.12,16.283
9401,messy,messy,3.66,11.886
3324,met,met,5.82,919
4972,metabolism,metabolism,5.47,15.014
5115,metal,metal,5.44,12.803
2640,metals,metals,6,1.354
4511,method,method,5.56,9.071
4921,methods,methods,5.48,9.947
3162,metro,metro,5.86,15.254
1761,metropolitan,metropolitan,6.3,16.812
6526,mets,mets,5.14,12.124
7286,meu,meu,4.98,714
5321,mexican,mexican,5.4,15.253
3247,mexico,mexico,5.84,17.186
6811,meyer,meyer,5.08,11.925
7716,mg,mg,4.88,9.823
7103,mi,mi,5.02,9.145
6154,mia,mia,5.22,13.893
2097,miami,miami,6.18,1.746
5773,mic,mic,5.3,9.313
6712,mich,mich,5.1,8.864
3828,michael,michael,5.7,12.164
3578,michelle,michelle,5.76,14.223
5673,michigan,michigan,5.32,12.848
4407,microphone,microphone,5.58,12.137
