Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
2560,inn,inn,6.02,1.237
7510,inna,inna,4.94,13.135
5207,inner,inner,5.42,10.319
4116,inning,inning,5.64,11.911
4499,innings,innings,5.56,14.591
1306,innocence,innocence,6.5,17.291
1604,innocent,innocent,6.36,13.815
4558,input,input,5.55,1.332
8387,inquiry,inquiry,4.66,13.793
9798,insane,insane,3.04,17.257
9539,insanity,insanity,3.46,21.779
9829,insecure,insecure,2.98,11.271
5307,inside,inside,5.4,7.284
1879,insight,insight,6.24,15.749
8544,insisted,insisted,4.58,13.415
8486,inspection,inspection,4.61,15.506
8545,inspector,inspector,4.58,13.107
577,inspiration,inspiration,7.02,14.497
472,inspire,inspire,7.12,14.797
268,inspired,inspired,7.36,11.021
279,inspiring,inspiring,7.34,11.886
3565,install,install,5.76,14.365
2501,installed,installed,6.04,10.294
5208,instance,instance,5.42,11.082
4210,instances,instances,5.62,901
2377,instant,instant,6.08,1.122
1605,instantly,instantly,6.36,10.645
7556,instead,instead,4.92,8.041
5873,institute,institute,5.28,14.148
8546,institution,institution,4.58,15.791
8611,institutional,institutional,4.54,1.94
8346,institutions,institutions,4.68,16.835
3285,instruction,instruction,5.83,12.604
5011,instructions,instructions,5.46,14.458
1977,instrument,instrument,6.22,12.337
1364,instrumental,instrumental,6.48,10.104
2437,instruments,instruments,6.06,17.072
6056,insurance,insurance,5.24,19.646
4805,insure,insure,5.5,14.321
2628,integral,integral,6,13.093
2378,integrated,integrated,6.08,13.068
3153,integration,integration,5.86,17.498
892,integrity,integrity,6.74,15.093
607,intellectual,intellectual,6.98,12.856
309,intelligence,intelligence,7.3,11.995
272,intelligent,intelligent,7.35,15.504
6231,intended,intended,5.2,10.498
4009,intense,intense,5.66,15.066
3055,intensity,intensity,5.89,13.061
5308,intent,intent,5.4,14.569
2858,intention,intention,5.94,12.843
4167,intentions,intentions,5.63,12.023
7454,inter,inter,4.94,12.843
1288,interaction,interaction,6.51,12.268
2135,interactions,interactions,6.16,11.609
2502,interactive,interactive,6.04,13.845
1606,interest,interest,6.36,15.354
760,interested,interested,6.84,10.947
171,interesting,interesting,7.52,11.822
1454,interests,interests,6.42,17.738
4853,interface,interface,5.49,10.433
8267,interference,interference,4.71,17.321
7557,interim,interim,4.92,8.769
3391,interior,interior,5.8,8.806
5263,interlude,interlude,5.41,14.143
6025,intermediate,intermediate,5.24,12.671
9315,interment,interment,3.8,18.295
6232,internal,internal,5.2,13.093
1190,international,international,6.56,12.643
195,internet,internet,7.48,1.313
3280,interpretation,interpretation,5.84,11.963
4860,interpreted,interpreted,5.49,13.493
3616,interval,interval,5.76,13.924
3487,intervals,intervals,5.78,12.982
8920,intervention,intervention,4.26,1.482
6890,interview,interview,5.06,12.843
5874,interviewed,interviewed,5.28,14.003
6891,interviews,interviews,5.06,16.088
861,intimate,intimate,6.76,13.024
6989,into,into,5.04,8.797
4394,intro,intro,5.58,9.495
3154,introduce,introduce,5.86,9.691
1803,introduced,introduced,6.28,13.559
2379,introduction,introduction,6.08,10.069
9577,invasion,invasion,3.42,20.212
1154,invented,invented,6.58,10.319
970,invention,invention,6.69,13.103
3488,inventory,inventory,5.78,14.609
1078,invest,invest,6.62,1.028
6701,investigate,investigate,5.1,12.976
7856,investigating,investigating,4.84,11.669
9154,investigation,investigation,4.02,14.776
8637,investigations,investigations,4.52,12.974
7372,investigators,investigators,4.96,16.157
2255,investing,investing,6.12,15.471
3314,investment,investment,5.82,18.148
2313,investments,investments,6.1,1.669
2859,investor,investor,5.94,13.001
4806,investors,investors,5.5,12.495
7857,invisible,invisible,4.84,17.066
608,invitation,invitation,6.98,13.323
1048,invite,invite,6.64,14.251
1227,invited,invited,6.54,12.324
3439,involve,involve,5.8,13.382
3315,involved,involved,5.82,13.354
4117,involvement,involvement,5.64,13.667
3697,involves,involves,5.73,10.363
4295,involving,involving,5.6,13.401
7279,io,io,4.98,11.337
5723,ion,ion,5.31,11.218
6472,ions,ions,5.15,13.184
6057,iowa,iowa,5.24,13.786
1307,ipad,ipad,6.5,18.098
1228,iphone,iphone,6.54,1.854
1191,ipod,ipod,6.56,17.515
7707,ir,ir,4.88,1.023
7777,ira,ira,4.86,13.999
8878,iran,iran,4.3,1.632
8968,iranian,iranian,4.22,1.148
9237,iraq,iraq,3.9,16.568
9202,iraqi,iraqi,3.96,13.991
2707,ireland,ireland,5.98,13.626
5763,irene,irene,5.3,1.374
3316,irish,irish,5.82,15.868
5582,iron,iron,5.34,13.494
8819,irregular,irregular,4.36,15.221
6058,irving,irving,5.24,13.334
6338,is,is,5.18,7.197
7778,ish,ish,4.86,12.779
8347,islam,islam,4.68,2.325
8388,islamic,islamic,4.66,15.201
835,island,island,6.78,15.425
2782,islanders,islanders,5.96,1.293
1155,islands,islands,6.58,19.493
7822,isn,isn,4.86,9.789
8696,isn't,isn't,4.46,1.073
9188,isnt,isnt,3.98,12.696
9540,isolated,isolated,3.46,18.206
9738,isolation,isolation,3.14,14.976
8071,israel,israel,4.78,17.296
7091,israel's,israel's,5.02,13.013
7936,israeli,israeli,4.82,1.746
6517,israelis,israelis,5.14,13.554
