Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
1083,perfume,perfume,6.62,16.149
7391,perhaps,perhaps,4.96,13.395
8249,period,period,4.72,14.291
8993,periods,periods,4.2,16.537
4171,peripheral,peripheral,5.63,13.493
3930,permanent,permanent,5.68,14.769
6442,permission,permission,5.16,15.566
3022,permit,permit,5.9,9.742
3583,permitted,permitted,5.76,16.358
7392,pero,pero,4.96,6.987
5992,perry,perry,5.26,10.264
6073,persian,persian,5.24,16.483
4627,person,person,5.54,11.466
2451,personal,personal,6.06,12.191
1029,personality,personality,6.66,15.201
3023,personally,personally,5.9,10.738
5407,personnel,personnel,5.38,11.045
2181,persons,persons,6.14,12.748
2507,perspective,perspective,6.04,10.294
3931,perspectives,perspectives,5.68,14.348
3742,persuade,persuade,5.72,11.613
519,pet,pet,7.08,17.004
6364,pete,pete,5.18,15.477
5228,peter,peter,5.42,10.515
8035,petition,petition,4.8,15.778
8905,petroleum,petroleum,4.28,16.293
393,pets,pets,7.22,15.292
6296,ph,ph,5.18,11.668
7115,phantom,phantom,5.02,16.098
6909,phase,phase,5.06,9.775
4065,phases,phases,5.65,10.907
6720,phat,phat,5.1,16.194
2038,phd,phd,6.2,15.119
3198,phenomena,phenomena,5.86,16.073
1271,phenomenon,phenomenon,6.52,11.822
5602,phil,phil,5.34,11.178
3743,philadelphia,philadelphia,5.72,13.099
3090,philharmonic,philharmonic,5.88,15.732
5993,philip,philip,5.26,10.461
4022,phillips,phillips,5.66,12.224
5031,philly,philly,5.46,15.546
3332,philosophers,philosophers,5.82,1.746
2103,philosophical,philosophical,6.18,13.805
1417,philosophy,philosophy,6.44,13.118
2877,phoenix,phoenix,5.94,16.088
1418,phone,phone,6.44,14.309
2039,phones,phones,6.2,14.286
9606,phony,phony,3.36,19.137
710,photo,photo,6.88,13.944
636,photograph,photograph,6.96,15.644
1050,photographer,photographer,6.64,12.898
737,photographs,photographs,6.86,14.984
612,photography,photography,6.98,14.913
663,photos,photos,6.94,11.678
2452,photoshop,photoshop,6.06,15.308
5126,phrase,phrase,5.44,8.369
6365,phyllis,phyllis,5.18,11.551
3091,physical,physical,5.88,12.229
5603,physician,physician,5.34,18.363
6260,physicians,physicians,5.2,16.537
4933,physics,physics,5.48,17.984
3932,physiological,physiological,5.68,1.449
995,pianist,pianist,6.68,14.061
664,piano,piano,6.94,12.683
2728,pic,pic,5.98,11.692
4307,pick,pick,5.6,9.689
2389,picked,picked,6.08,12.095
4934,picking,picking,5.48,9.528
5329,picks,picks,5.4,13.553
1507,pics,pics,6.4,13.553
1051,picture,picture,6.64,13.056
536,pictures,pictures,7.06,13.157
841,pie,pie,6.78,17.177
5994,piece,piece,5.26,10.654
8130,pieces,pieces,4.76,12.707
7299,piel,piel,4.98,13.626
7825,pienso,pienso,4.86,10.801
814,pies,pies,6.8,13.702
8131,pig,pig,4.76,2.105
8475,pigs,pigs,4.62,20.293
8394,pile,pile,4.66,8.947
8650,pill,pill,4.51,16.473
711,pillow,pillow,6.88,12.229
9087,pills,pills,4.1,16.067
2649,pilot,pilot,6,1.069
3409,pilots,pilots,5.8,14.286
9355,pimp,pimp,3.73,21.581
8906,pimpin,pimpin,4.28,21.575
9673,pimps,pimps,3.24,20.466
6721,pin,pin,5.1,8.864
1711,pink,pink,6.32,12.027
1810,pioneer,pioneer,6.28,15.258
4661,pipe,pipe,5.53,1.386
8617,pirate,pirate,4.54,22.058
9046,pirates,pirates,4.14,2.119
9473,piss,piss,3.56,1.728
10040,pissed,pissed,2.54,1.328
9449,pistol,pistol,3.59,18.953
8883,pit,pit,4.3,10.152
4224,pitch,pitch,5.62,13.536
6261,pitcher,pitcher,5.2,12.454
5408,pitching,pitching,5.38,1.427
6532,pittsburgh,pittsburgh,5.14,13.852
9761,pity,pity,3.1,13.132
443,pizza,pizza,7.16,13.303
4520,place,place,5.56,1.198
5786,placed,placed,5.3,15.551
2215,places,places,6.14,11.608
3836,placing,placing,5.7,11.294
7204,plain,plain,5,14.428
4716,plains,plains,5.52,1.432
8797,plaintiff,plaintiff,4.38,13.981
2216,plan,plan,6.14,12.779
1766,plane,plane,6.3,1.632
3024,planes,planes,5.9,16.812
1272,planet,planet,6.52,1.555
2729,planned,planned,5.98,12.696
2163,planning,planning,6.16,14.619
2040,plans,plans,6.2,10.102
899,plant,plant,6.74,13.524
494,plants,plants,7.1,12.976
3498,plasma,plasma,5.78,15.556
8701,plastic,plastic,4.46,12.811
3744,plate,plate,5.72,10.698
3499,plates,plates,5.78,13.293
6443,platform,platform,5.16,14.337
746,platinum,platinum,6.86,18.484
350,play,play,7.26,12.257
